type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority
user,United_States,en,3,8,0,0,0,0,1,1,F,mrs,FALSE,FALSE,FALSE,TRUE,671,2856
user,Spain,es,3,8,0,0,0,0,3,0,F,mrs,FALSE,FALSE,FALSE,TRUE,595,3196
user,United_States,de,3,8,1,0,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,709,3205
user,Italy,it,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,702,3198
user,Finland,en,4,8,5,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,115,3201
user,France,fr,3,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,692,3195
user,Italy,it,3,11,3,1,0,0,6,2,F,mrs,FALSE,FALSE,FALSE,TRUE,81,3204
user,France,fr,3,9,34,0,0,0,17,1,F,mrs,TRUE,TRUE,FALSE,TRUE,11,3202
user,United_Kingdom,en,3,8,17,0,0,0,9,0,F,mrs,TRUE,FALSE,TRUE,TRUE,28,2854
user,France,fr,4,8,4,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,510,3198
user,United_States,en,4,11,4,0,0,0,9,0,F,miss,TRUE,TRUE,FALSE,TRUE,575,3196
user,Australia,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,695,2856
user,Australia,en,3,8,2,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,122,3197
user,Germany,de,3,8,1,0,0,0,3,0,M,mr,TRUE,FALSE,TRUE,TRUE,554,2855
user,United_Kingdom,en,3,8,4,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,298,3201
user,United_Kingdom,en,4,8,0,0,0,0,2,0,M,mr,TRUE,FALSE,TRUE,TRUE,557,2855
user,Spain,es,3,8,1,1,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,418,3198
user,France,fr,4,9,1,0,0,0,28,19,F,mrs,FALSE,FALSE,FALSE,TRUE,77,3196
user,France,fr,7,8,64,0,2,100,0,0,M,mr,TRUE,FALSE,TRUE,FALSE,84,2857
user,Spain,es,3,8,1,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,203,3201
user,Germany,de,3,8,0,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,312,3195
user,France,fr,3,8,5,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,278,3200
user,France,fr,3,8,44,0,2,0,2,0,F,mrs,TRUE,FALSE,TRUE,FALSE,14,3205
user,Sweden,en,13,9,14,0,0,0,18,1,F,mrs,TRUE,FALSE,TRUE,TRUE,52,2856
user,France,fr,20,9,0,1,1,0,0,0,F,mrs,TRUE,FALSE,TRUE,FALSE,353,2856
user,France,fr,3,8,2,0,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,199,2857
user,United_States,en,5,8,0,0,0,0,0,2,F,mrs,FALSE,FALSE,FALSE,TRUE,702,3198
user,Germany,de,3,8,4,0,0,0,0,0,F,mrs,TRUE,TRUE,FALSE,TRUE,625,3195
user,United_States,en,3,8,1,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,405,2854
user,Italy,it,5,10,4,0,0,0,15,0,F,mrs,FALSE,FALSE,FALSE,TRUE,704,3200
user,United_States,en,3,8,3,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,361,3205
user,Italy,it,3,10,1,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,661,3195
user,United_Kingdom,en,4,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,528,2855
user,Sweden,en,3,8,11,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,341,3195
user,Germany,de,5,8,0,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,705,3203
user,United_States,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,348,2852
user,Denmark,en,5,8,2,0,0,0,0,1,M,mr,TRUE,FALSE,TRUE,TRUE,700,3202
user,United_Kingdom,en,7,9,2,0,0,0,2,1,M,mr,FALSE,FALSE,FALSE,TRUE,575,3202
user,United_States,en,3,8,19,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,708,3204
user,United_States,en,5,8,2,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,FALSE,692,2853
user,United_States,en,3,8,1,0,0,0,5,0,F,mrs,TRUE,TRUE,FALSE,TRUE,118,2855
user,United_States,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,700,3196
user,United_States,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,708,3204
user,Spain,es,3,8,2,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,40,2854
user,United_Kingdom,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,693,2854
user,Germany,de,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,391,3205
user,Italy,it,3,8,0,0,0,0,0,1,M,mr,TRUE,FALSE,TRUE,TRUE,674,3201
user,Italy,it,3,8,0,0,0,0,5,0,F,mrs,FALSE,FALSE,FALSE,TRUE,540,3195
user,Germany,de,3,8,0,0,0,0,9,0,F,mrs,FALSE,FALSE,FALSE,TRUE,706,3202
user,United_Kingdom,en,3,8,5,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,158,2854
user,France,fr,3,8,0,0,2,100,0,0,F,mrs,TRUE,TRUE,FALSE,TRUE,534,3203
user,Netherlands,en,3,8,42,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,632,2859
user,United_Kingdom,en,6,8,18,0,0,0,159,0,F,mrs,TRUE,FALSE,TRUE,TRUE,45,3195
user,United_States,en,4,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,698,2859
user,United_States,en,3,8,4,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,704,3200
user,Sweden,en,3,8,0,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,222,3203
user,Spain,es,5,9,10,0,0,0,0,1,M,mr,TRUE,FALSE,TRUE,FALSE,295,3195
user,Italy,it,4,9,9,0,0,0,0,2,M,mr,FALSE,FALSE,FALSE,TRUE,11,3198
user,Australia,en,3,8,0,0,0,0,5,0,F,mrs,FALSE,FALSE,FALSE,TRUE,684,2855
user,United_States,en,3,8,5,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,702,3198
user,United_States,en,9,9,0,0,0,0,7,0,M,mr,FALSE,FALSE,FALSE,TRUE,350,2854
user,France,fr,3,8,0,0,0,0,2,2,F,mrs,FALSE,FALSE,FALSE,TRUE,168,2856
user,United_Kingdom,en,3,8,5,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,167,2853
user,Germany,de,7,8,0,0,2,100,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,35,2858
user,Australia,en,4,8,107,0,0,0,1,0,F,mrs,TRUE,FALSE,TRUE,TRUE,264,2858
user,France,fr,5,8,0,0,0,0,1,1,F,mrs,FALSE,FALSE,FALSE,TRUE,702,3198
user,Germany,de,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,695,2856
user,United_States,en,3,8,3,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,613,3203
user,Spain,es,3,8,2,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,30,3196
user,France,fr,3,8,0,1,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,329,3201
user,Netherlands,en,3,8,0,0,0,0,12,0,F,mrs,FALSE,FALSE,FALSE,TRUE,709,3205
user,France,fr,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,19,3203
user,United_States,en,3,8,1,0,0,0,9,0,F,mrs,FALSE,FALSE,FALSE,TRUE,531,2855
user,France,fr,3,8,6,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,299,2857
user,France,fr,3,8,1,0,0,0,1,0,F,mrs,TRUE,TRUE,FALSE,TRUE,575,3202
user,France,fr,4,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,696,2857
